Training Logs of RCNN

=========Starting Training==========
 Epoch  |  Train Loss  |  Val Loss  |  Val Acc  |  Elapsed 
------------------------------------------------------------
Validation loss decreased (inf --> 0.565320).  Saving model ...
   1    |   0.688100   |  0.565320  |   75.37   |  297.53  
Validation loss decreased (0.565320 --> 0.501972).  Saving model ...
   2    |   0.567992   |  0.501972  |   79.10   |  304.57  
Validation loss decreased (0.501972 --> 0.442524).  Saving model ...
   3    |   0.502519   |  0.442524  |   82.49   |  304.02  
Validation loss decreased (0.442524 --> 0.386806).  Saving model ...
   4    |   0.442377   |  0.386806  |   85.20   |  302.66  
Validation loss decreased (0.386806 --> 0.344925).  Saving model ...
   5    |   0.394539   |  0.344925  |   86.73   |  299.95  
Validation loss decreased (0.344925 --> 0.317523).  Saving model ...
   6    |   0.360866   |  0.317523  |   87.58   |  434.68  
Validation loss decreased (0.317523 --> 0.298338).  Saving model ...
   7    |   0.337471   |  0.298338  |   88.19   |  287.65  
Validation loss decreased (0.298338 --> 0.285338).  Saving model ...
   8    |   0.322026   |  0.285338  |   88.50   |  288.44  
Validation loss decreased (0.285338 --> 0.275193).  Saving model ...
   9    |   0.309569   |  0.275193  |   88.72   |  287.82  
Validation loss decreased (0.275193 --> 0.268547).  Saving model ...
  10    |   0.300883   |  0.268547  |   88.95   |  287.32  
Validation loss decreased (0.268547 --> 0.262656).  Saving model ...
  11    |   0.293479   |  0.262656  |   89.15   |  287.74  
Validation loss decreased (0.262656 --> 0.258110).  Saving model ...
  12    |   0.287194   |  0.258110  |   89.28   |  287.42  
Validation loss decreased (0.258110 --> 0.254706).  Saving model ...
  13    |   0.281211   |  0.254706  |   89.42   |  287.77  
Validation loss decreased (0.254706 --> 0.251056).  Saving model ...
  14    |   0.277017   |  0.251056  |   89.53   |  287.84  
Validation loss decreased (0.251056 --> 0.247872).  Saving model ...
  15    |   0.272787   |  0.247872  |   89.61   |  298.39  
Validation loss decreased (0.247872 --> 0.245820).  Saving model ...
  16    |   0.269719   |  0.245820  |   89.64   |  292.66  
